istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n
,,,,,,,,,,17994,K2-167,2,TESS,04_02_2021_12_33_14,4.1890840000000935,0
,,,,,,,,,,13659,K2-167,28,TESS,04_02_2021_12_34_05,2.7061969999999747,1
,,,,,,,,,,17646,LP 714-47,5,TESS,04_02_2021_12_34_28,2.6579989999997906,0
,,,,,,,,,,15956,HATS-17,10,TESS,04_02_2021_12_34_51,3.901646000000028,0
,,,,,,,,,,16102,HATS-17,11,TESS,04_02_2021_12_35_14,2.650667999999996,0
,,,,,,,,,,81105,WASP-173 A,29,TESS,04_02_2021_12_36_44,14.766656000000012,0
,,,,,,,,,,17667,HATS-16,2,TESS,04_02_2021_12_37_06,2.8458129999999073,0
,,,,,,,,,,81048,HATS-16,29,TESS,04_02_2021_12_37_55,26.3359089999999,0
,,,,,,,,,,13485,HATS-16,29,TESS,04_02_2021_12_37_58,2.1776259999999183,1
4089,4092,3965792,3965795,2145.4645511917306,2145.4652456526314,16.134766816914492,0.16093897444502328,0.5915648594421261,0.0006944609008314728,94315.0,WASP-159,31,TESS,04_02_2021_12_39_05,46.2739939999999,0
,,,,,,,,,,17328,HATS-43,5,TESS,04_02_2021_12_39_27,3.3828419999999824,0
,,,,,,,,,,14373,HATS-43,6,TESS,04_02_2021_12_39_46,2.3423129999998764,0
,,,,,,,,,,15808,HD 97658,22,TESS,04_02_2021_12_40_11,4.831775999999991,0
,,,,,,,,,,14699,WASP-12,20,TESS,04_02_2021_12_40_31,1.8886619999998402,0
,,,,,,,,,,17208,TOI-132,1,TESS,04_02_2021_12_40_48,2.124167999999827,0
,,,,,,,,,,79666,TOI-132,28,TESS,04_02_2021_12_41_45,13.70067099999983,0
,,,,,,,,,,13262,TOI-132,28,TESS,04_02_2021_12_41_47,1.4899640000001,1
,,,,,,,,,,13268,LHS 1140,3,TESS,04_02_2021_12_42_09,2.916776000000027,0
20934,20937,3859140,3859143,2120.7794263223464,2120.780120762755,6.155165450517495,0.15395037834006295,0.1654536440135843,0.0006944404085515998,94381.0,LHS 1140,30,TESS,04_02_2021_12_43_40,63.41276999999991,0
,,,,,,,,,,15699,LHS 1140,30,TESS,04_02_2021_12_43_44,2.467256000000134,1
,,,,,,,,,,95821,WASP-94 A,27,TESS,04_02_2021_12_45_17,62.75457200000005,0
,,,,,,,,,,15961,WASP-94 A,27,TESS,04_02_2021_12_45_20,2.385195999999951,1
,,,,,,,,,,17711,TOI-421,5,TESS,04_02_2021_12_45_43,4.565014999999903,0
,,,,,,,,,,14667,TOI-421,6,TESS,04_02_2021_12_46_02,2.375528000000031,0
17448,17454,90492,90498,1353.1442850502403,1353.1526183210908,10.11722185482915,1.1615065616531526,0.020796707048632124,0.008333270850471308,17476.0,WASP-124,1,TESS,04_02_2021_12_46_22,3.3549930000001496,0
2173,2180,134344,134351,1414.04917922111,1414.0589015536411,5.474316966751735,0.3203767687537297,0.010314242019123343,0.009722332531055144,15588.0,LTT 1445 A,4,TESS,04_02_2021_12_46_49,6.919219999999996,0
3645,3651,135820,135826,1416.0991980891804,1416.1075314814734,3.418802037281542,0.2451302912663549,0.008399980055514344,0.0083333922930251,15588.0,LTT 1445 A,4,TESS,04_02_2021_12_46_49,6.919219999999996,0
5933,5942,140146,140155,1422.1075418083446,1422.1200417736186,6.841169381912902,0.30974454079523156,0.012303332652703558,0.012499965273946145,15588.0,LTT 1445 A,4,TESS,04_02_2021_12_46_49,6.919219999999996,0
7607,7612,142639,142644,1425.5700387677452,1425.5769831923292,2.543858827710124,0.17861527596698415,0.008399818963577,0.0069444245839349605,15588.0,LTT 1445 A,4,TESS,04_02_2021_12_46_49,6.919219999999996,0
10448,10456,145535,145543,1429.5922288659594,1429.6033398393088,13.075281671431672,0.20477105441041527,0.044226191032354256,0.011110973349332198,15588.0,LTT 1445 A,4,TESS,04_02_2021_12_46_49,6.919219999999996,0
13539,13550,148652,148663,1433.9213242943783,1433.9366017610791,5.808492910663051,0.37656754280273913,0.007810955907713302,0.015277466700808873,15588.0,LTT 1445 A,4,TESS,04_02_2021_12_46_49,6.919219999999996,0
14505,14508,149659,149662,1435.3199053776698,1435.324071950184,1.2265478553988316,0.19451056685159157,0.004390940505164087,0.00416657251412289,15588.0,LTT 1445 A,4,TESS,04_02_2021_12_46_49,6.919219999999996,0
20162,20178,3982112,3982128,2149.24456045002,2149.2482641655874,3.00840424598032,0.1582467841936221,0.016321476103570376,0.003703715567553445,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
25934,25993,3987884,3987943,2150.5806740436956,2150.5943314585597,15.789671451530234,0.31610415879787257,0.030034718003924876,0.013657414864155726,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
30460,30466,3992455,3992461,2151.6387754157713,2151.640164302648,1.7545513353337727,0.09011537308716293,0.02851453769646284,0.0013888868766116502,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
30904,30909,3992899,3992904,2151.7415530353423,2151.7427104408403,1.250627555269381,0.08976841872808898,0.019224752385120558,0.0011574054979064385,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
35401,35417,3997643,3997659,2152.839698290624,2152.8434019810456,3.863233061495538,0.1667815908527862,0.02243048762536448,0.0037036904218439304,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
47203,47244,4009445,4009486,2155.5716265262695,2155.58111719063,16.129290026732413,0.2072254823643518,0.07792220124851035,0.009490664360328083,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
64834,64861,4036438,4036465,2161.819957090219,2161.8262070046076,4.394350646526053,0.2180174802288637,0.012787244635586559,0.006249914388718025,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
75479,75484,4047329,4047334,2164.3409804050907,2164.342137790108,0.7662981445506022,0.09935637067185983,0.008469546338115919,0.0011573850174499967,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
83085,83096,4054986,4054997,2166.1133972629777,2166.115943501819,2.9887685948638034,0.11972557836985474,0.025361808126215468,0.002546238841205195,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
88511,88515,4060413,4060417,2167.369617625187,2167.370543528358,0.9567048509002074,0.08661787303976104,0.015339821531250353,0.0009259031712645083,99413.0,LTT 1445 A,31,TESS,04_02_2021_12_48_23,66.74149799999986,0
3355,3363,663685,663693,2149.244676191174,2149.2557873374126,5.3796465405102545,0.32933364186711694,0.01058091677367301,0.01111114623836329,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
4316,4337,664646,664667,2150.579400894715,2150.60856757687,23.024060807991305,0.549787426851301,0.026523328978397487,0.029166682154937007,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
4477,4486,664807,664816,2150.8030120814174,2150.815512082866,3.54328766213188,0.3627092835941241,0.00442800924283393,0.012500001448643161,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
5891,5898,666273,666280,2152.8391195890395,2152.848841776222,5.3836216228894935,0.2659562672088074,0.01743333786092305,0.009722187182433117,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
7858,7871,668240,668253,2155.5710478270134,2155.5891032372037,19.124230338893064,0.3191775682475261,0.05264074775439176,0.01805541019029988,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
9949,9953,671922,671926,2160.684901494227,2160.6904569910166,1.9560599278206796,0.170075067743117,0.005892402104996641,0.005555496789838799,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
10766,10778,672739,672751,2161.819609872804,2161.8362763114847,7.808879093093282,0.4021726447095962,0.010628187747744544,0.016666438680658757,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
12541,12548,674555,674562,2164.3417905745564,2164.351512611399,3.4446860249379547,0.29855736615912465,0.0055303003728317535,0.009722036842504167,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
13775,13780,675803,675808,2166.075087936403,2166.0820322255504,2.905528334756026,0.27295361614144403,0.008585162897095211,0.006944289147213567,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
