istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note,final
16501,16511,88888,88898,1350.91626249074,1350.93015090715,0.676177678027605,0.060699333473462,0.000906734445934,0.013888416412328,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
17049,17054,89448,89454,1351.69401358446,1351.70234662947,0.446819400936851,0.050249804234494,0.000890262419627,0.008333045005656,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
17507,17514,89922,89929,1352.35232395497,1352.36204583421,1.49590617147588,0.037451381342495,0.005140177696021,0.009721879241624,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
17936,17943,90352,90359,1352.94952472031,1352.95924658372,0.766729131507159,0.066776144138957,0.001408857300251,0.009721863408231,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,Gradual like a spot,1
17959,17963,90375,90379,1352.98146798367,1352.9870233332,0.338519003803013,0.034428497123969,0.000831593374747,0.005555349522183,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,Gradual like a spot,1
17969,17972,90385,90388,1352.99535635725,1352.99952286927,0.212921818886178,0.028590451832959,0.00063053648433,0.004166512024767,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,Gradual like a spot,1
198,237,70643,70682,1325.57642454612,1325.63059117499,0.514645092487181,0.018955834136585,0.001357809373043,0.054166628868643,18094,AU Mic,1,TESS,18_02_2021_15_51_48,8.047532,0,1,gradual flare,1
982,1073,71430,71523,1326.66947846815,1326.79864486075,33.7456652829008,0.13019217125266,0.009918672220514,0.129166392598563,18094,AU Mic,1,TESS,18_02_2021_15_58_09,8.047532,0,1,gradual flare,1
1080,1097,71530,71547,1326.80836706175,1326.831978121,0.9576835651565,0.056365302843439,0.001098179845833,0.023611059244104,18094,AU Mic,1,TESS,18_02_2021_16_01_06,8.047532,0,1,gradual flare,1
1355,1377,71820,71843,1327.21114389537,1327.24308825978,1.3158361041342,0.063009298316258,0.001256756518683,0.031944364412084,18094,AU Mic,1,TESS,18_02_2021_16_02_23,8.047532,0,1,gradual flare,1
6817,6962,77508,77655,1335.11109747507,1335.31526152734,75.8679275691635,0.049485592308035,0.031768932188126,0.204164052272972,18094,AU Mic,1,TESS,18_02_2021_17_01_50,8.047532,0,1,long tail,1
10446,10461,82015,82030,1341.37071420354,1341.39154700217,0.80141735001823,0.042095324243192,0.001267212787554,0.020832798630636,18094,AU Mic,1,TESS,18_02_2021_17_05_35,8.047532,0,1,gradual flare,1
10871,10891,82452,82472,1341.97764292329,1342.005419974,0.821241063858301,0.034583594475554,0.001806354920147,0.027777050715486,18094,AU Mic,1,TESS,18_02_2021_17_07_05,8.047532,0,1,long tail,1
13163,13177,84782,84796,1345.21366502041,1345.23310890123,0.823544334271216,0.064425383607441,0.000784531214205,0.019443880820745,18094,AU Mic,1,TESS,18_02_2021_17_08_34,8.047532,0,1,gradual flare,1
13375,13456,84994,85075,1345.50810089353,1345.62059759668,12.8709260296029,0.034925548511133,0.006679767570263,0.112496703147826,18094,AU Mic,1,TESS,18_02_2021_17_10_50,8.047532,0,1,long tail,1
15853,15939,88239,88325,1350.01490397618,1350.13434443416,25.4785196038891,0.128154433545747,0.007467624981838,0.119440457983501,18094,AU Mic,1,TESS,18_02_2021_17_12_34,8.047532,0,1,long tail,1
