"TIC","ID","mission","quarter_or_sector","tstart","tstop","rel_amplitude","ED","ED_err","orbital_phase","timestamp"
48353358,"Kepler-1651","Kepler",15,1382.68683352751,1382.69160118851,0.013772427584468,2.67738967607267,0.062493567682228,0.956037359490272,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1380.42217428576,1380.42830421124,0.006558687972501,2.07866483942276,0.08563016813158,0.726789261368004,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1376.7755586012,1376.77760204543,0.003274247577907,0.423032815350723,0.052437869667554,0.357647761025472,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1375.49236305361,1375.49781190716,0.003357693024282,1.13258438031634,0.091818911084189,0.227751777833598,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1371.10200728417,1371.10405053249,0.004375193126602,0.53881016710812,0.061249429436548,0.783322571149356,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1367.97982968837,1367.98732180769,0.015616139779974,3.20555973139349,0.086325058269727,0.467269161152824,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1366.99563460915,1367.00176456387,0.011336119442816,3.02434519426499,0.101680646687366,0.367640552163162,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1365.410705173,1365.41411069453,0.003127704178874,0.71654302442003,0.06695852637794,0.207200494693769,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1365.21931488001,1365.22203921738,0.002359907692793,0.435509181413656,0.065227368460114,0.187826339034539,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1364.39041059261,1364.39926489215,0.004913444138086,2.19561689933705,0.113941746037034,0.103917586711712,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1362.96349578296,1362.96622022289,0.004254133252881,0.690286318344204,0.058864304750391,0.959473115657098,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1362.55687601411,1362.56300598,0.003995165092426,1.20192985376155,0.103503097465495,0.918311599191701,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1274.39201105681,1274.40086574516,0.010962294938492,3.58309059976586,0.119968002922827,0.993513006988083,"2022_08_02"
48353358,"Kepler-1651","TESS",26,2023.9235713313,2023.93190475402,0.039896433371449,14.3567463190791,1.13710782811037,0.229679657510251,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1359.98774571221,1359.99251351325,0.005712798163649,1.17146508394054,0.079635647112819,0.658242346970516,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1360.36507834229,1360.36712169969,0.004213937868962,0.509029571721184,0.056094205150734,0.696439169791309,"2022_08_02"
48353358,"Kepler-1651","TESS",53,,,,,,-1,"2022_08_02"
48353358,"Kepler-1651","TESS",41,,,,,,-1,"2022_08_02"
48353358,"Kepler-1651","TESS",40,,,,,,-1,"2022_08_02"
48353358,"Kepler-1651","TESS",14,,,,,,-1,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",10,921.293175583771,921.297943495061,0.042562493610514,7.98839326370629,0.295348608662866,0.14881198406216,"2022_08_02"
63126862,"Kepler-42","Kepler",17,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",16,1474.05758470048,1474.06235236591,0.025454112272136,5.86075491498156,0.387565808393195,0.611841568179803,"2022_08_02"
63126862,"Kepler-42","Kepler",15,1377.44644386352,1377.44848720415,0.008544569025421,1.45425457527442,0.159159077346037,0.476349207375332,"2022_08_02"
63126862,"Kepler-42","Kepler",15,1407.16606303381,1407.16946849516,0.020401458406412,3.26104527398708,0.229701766840869,0.041310036529587,"2022_08_02"
63126862,"Kepler-42","Kepler",15,1441.7430133569,1441.74709988804,0.01553683070925,3.46381292475617,0.2548177441676,0.322112308431572,"2022_08_02"
63126862,"Kepler-42","Kepler",15,1443.70319667743,1443.7093264268,0.052239075157357,9.74218889757366,0.243130257115192,0.646506301912875,"2022_08_02"
63126862,"Kepler-42","Kepler",15,1448.93943790691,1448.94284337245,0.025672837136845,3.91469424051385,0.212850488145575,0.19826775403212,"2022_08_02"
63126862,"Kepler-42","Kepler",15,1459.01895489044,1459.02236036849,0.010288716590419,1.81906610912937,0.225859548084627,0.434862792985501,"2022_08_02"
63126862,"Kepler-42","Kepler",15,1459.63943315057,1459.64215765371,0.00968667469576,1.64482500819487,0.233989998741041,0.803710508965757,"2022_08_02"
63126862,"Kepler-42","Kepler",14,1323.18503676287,1323.19389130967,0.01828714359599,6.4530679779151,0.403629663220236,0.76932972291255,"2022_08_02"
63126862,"Kepler-42","Kepler",10,991.173482886094,991.176207328586,0.012452022736911,1.95526229879796,0.257299099325073,0.312954692402208,"2022_08_02"
63126862,"Kepler-42","Kepler",10,932.179739671599,932.181783006759,0.035198558508763,3.87259686418415,0.180642137652237,0.165847461290071,"2022_08_02"
63126862,"Kepler-42","Kepler",14,1337.50150825978,1337.50695713627,0.021676847509037,6.59050044668141,0.366461334078511,0.353142675837604,"2022_08_02"
63126862,"Kepler-42","Kepler",11,1079.7825114457,1079.82882576461,0.161677588003182,108.323174011071,0.567045500173686,0.794850114127628,"2022_08_02"
63126862,"Kepler-42","Kepler",11,1051.3558050923,1051.37351343205,0.076689163815004,29.585198749493,0.467761375026289,0.082206392713996,"2022_08_02"
63126862,"Kepler-42","Kepler",11,1040.93102336797,1040.96507794049,0.068871695863535,53.0823447581469,0.70464904034646,0.083916896074283,"2022_08_02"
63126862,"Kepler-42","Kepler",11,1039.52252573885,1039.54023420078,0.088198544186882,39.0639480768246,0.540431271143717,0.976606154572361,"2022_08_02"
63126862,"Kepler-42","Kepler",11,1008.61035307587,1008.62125063966,0.012772608525775,7.98542245133876,0.523322754769238,0.780732641543503,"2022_08_02"
63126862,"Kepler-42","Kepler",12,1144.52709474476,1144.53050035081,0.018830074600665,3.67470620300648,0.389436621228249,0.628984144558902,"2022_08_02"
63126862,"Kepler-42","Kepler",13,1224.98918461318,1224.99531496228,0.055396500977911,8.81859700270269,0.243632667296204,0.137778595359128,"2022_08_02"
63126862,"Kepler-42","Kepler",13,1221.37297125647,1221.3750147387,0.017460721857955,2.49384561867161,0.22508383334836,0.159988377937736,"2022_08_02"
