tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-11-10,Beat Period,Sector 1,high energy half,0.127198315230987,0.269334014568047,0.048757075622626,0.808640166896565,0.127198315230987,0.528668906928345,38,25.1305555555556,0.9
2021-11-10,Beat Period,Sector 27,high energy half,0.199773304840014,0.062402815992108,0.058303011050787,0.769361389811316,0.199773304840014,0.124783102333356,33,23.3185185185185,0
2021-11-10,Beat Period,Sector 27,high energy half,0.117794848099804,0.371204578795879,0.140281467790998,0.249206005805643,0.140281467790998,0.491192008513468,33,23.3185185185185,0.1
2021-11-10,Beat Period,Sector 27,high energy half,0.117794848099804,0.371204578795879,0.140281467790998,0.249206005805643,0.140281467790998,0.491192008513468,33,23.3185185185185,0.2
2021-11-10,Beat Period,Sector 27,high energy half,-2.22044604925031E-16,1,0.258076315890801,0.009975427480247,0.258076315890801,0.019950847094732,33,23.3185185185185,0.3
2021-11-10,Beat Period,Sector 27,high energy half,-2.22044604925031E-16,1,0.258076315890801,0.009975427480247,0.258076315890801,0.019950847094732,33,23.3185185185185,0.4
2021-11-10,Beat Period,Sector 27,high energy half,0.067543185187324,0.708827321453602,0.190533130703477,0.07987680634092,0.190533130703477,0.159689697767537,33,23.3185185185185,0.5
2021-11-10,Beat Period,Sector 27,high energy half,0.092593060529052,0.535407178545285,0.16548325536175,0.147035275059193,0.16548325536175,0.293251322975681,33,23.3185185185185,0.6
2021-11-10,Beat Period,Sector 27,high energy half,0.103622189172539,0.460866397648219,0.154454126718263,0.187197251145423,0.154454126718263,0.372168754185366,33,23.3185185185185,0.7
2021-11-10,Beat Period,Sector 27,high energy half,0.102998897809095,0.46498940718411,0.155077418081706,0.184741097858375,0.155077418081706,0.367374551910793,33,23.3185185185185,0.8
2021-11-10,Beat Period,Sector 27,high energy half,0.177010535789919,0.112231429303377,0.081065780100882,0.615408810147201,0.177010535789919,0.224196782736107,33,23.3185185185185,0.9
2021-11-10,Beat Period,Both Sectors,low energy half,0.000253521224018,0.999738847176312,0.116344772954203,0.037780747511123,0.116344772954203,0.075557853539582,118,48.4490740740741,0
2021-11-10,Beat Period,Both Sectors,low energy half,0.034679034208453,0.736044980904253,0.081919259969768,0.194409258966967,0.081919259969768,0.386035030036376,118,48.4490740740741,0.1
2021-11-10,Beat Period,Both Sectors,low energy half,0.000659030622645,0.999288161408782,0.115939263555575,0.038644135888416,0.115939263555575,0.077284279312529,118,48.4490740740741,0.2
2021-11-10,Beat Period,Both Sectors,low energy half,0.04877801303448,0.552522962027097,0.06782028114374,0.323098421227883,0.06782028114374,0.624727605429784,118,48.4490740740741,0.3
2021-11-10,Beat Period,Both Sectors,low energy half,0.10755259041263,0.06058412499714,0.00904570376559,0.974708947987961,0.10755259041263,0.121143398384001,118,48.4490740740741,0.4
2021-11-10,Beat Period,Both Sectors,low energy half,0.053646190569288,0.489632408512967,0.062952103608932,0.376703389714864,0.062952103608932,0.713769614780599,118,48.4490740740741,0.5
2021-11-10,Beat Period,Both Sectors,low energy half,0.064987476225504,0.35376958918991,0.051610817952717,0.515708084900507,0.064987476225504,0.676683839794637,118,48.4490740740741,0.6
2021-11-10,Beat Period,Both Sectors,low energy half,0.026226083483228,0.835687892719365,0.090372210694992,0.137016550773916,0.090372210694992,0.27335514991695,118,48.4490740740741,0.7
2021-11-10,Beat Period,Both Sectors,low energy half,0.071783320182018,0.282788812372902,0.044814973996202,0.604616939818242,0.071783320182018,0.552997410185248,118,48.4490740740741,0.8
2021-11-10,Beat Period,Both Sectors,low energy half,0.044467987701835,0.609190230179722,0.072130306476386,0.279409462756991,0.072130306476386,0.546831753962124,118,48.4490740740741,0.9
